,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
1789,07/19/1962,15:45,"near bangkok, thailand",united arab airlines,869,hong kong - bangkok,de havilland comet 4c,su-amw,06464,26.0,26,0.0,"crashed into a jungle on the side of a mountain, 52 nm from the bangkok airport while on approach. premature descent. navigational error."
1790,07/22/1962,23:19,"honolulu, hawaii",canadian pacifiair lines,323,"honolulu - nadi, fiji",bristol britannia 314,cf-czb,13394,40.0,27,0.0,"shortly after takeoff, a fire warning indication caused the pilot to feather the propeller on the no. 1 engine. fuel was jettisoned, and the flight returned to honolulu for landing approximately 40 minutes after departure. the three-engine landing approach appeared normal until the aircraft had proceeded beyond the runway threshold and had commenced its landing flare at an altitude of approximately 20 feet above the runway centerline. a go-around was attempted from this position and the aircraft banked and veered sharply to the left. initial ground contact was made by the left wing tip approximately 550 feet to the left of the runway centerline. the aircraft progressively disintegrated as it  moved across the ground, then struck heavy earth-moving-equipment parked approximately 970 feet from the runway centerline. the accident was caused by the attempted three-engine go-around, when the aircraft was in a full landing configuration, at insufficient airspeed and altitude to maintain control."
1804,09/23/1962,21:00,north atlantiocean,flying tiger line,923,"gander, newfoundland - frankfurt, germany",lockheed 1049h-82 super constellation,n6923c,4827,76.0,28,0.0,"a fire developed in the no. 3 engine. a few minutes later, the propeller of the no. 1 engine oversped and the flight engineer inadvertently closed the firewall shutoff valve to the no. 1 engine. the no. 1 engine was then shut down. the no. 2 engine then developed mechanical trouble. the plane ditched at sea approximately 560 nm w of shannon, ireland. failure of 2 of the 4 aircraft's engines and the improper action of the flight engineer which disabled a 3rd engine necessitating a ditching at sea."
1808,10/19/1962,20:52,"windsor locks, connecticut",allegheny airlines,928,"washington d.c. - providence, ri",convair cv-340/440,n8415n,125,52.0,1,0.0,"following departure from philadelphia, a high frequency whistling noise was heard and inspection revealed an escape of air at the lower aft corner of the rear service door. pillow cases were placed in this area to reduce the air noise but no further action was taken. while the aircraft was descending through 4,000 feet the door blew out. the ensuing outward rush of air ejected a flight attendant who was near the door opening. undetected insecure latching of the rear service door, resulting in an inflight explosive decompression which ejected a flight attendant from the aircraft."
1812,11/23/1962,12:24,"ellicott, maryland",united air lines,297,newark - washington d.c.,vickers viscount 745d,n7430,128,18.0,18,0.0,"the aircraft penetrated a flock of whistling swans at 6,000 ft. one, estimated to be 13 pounds, struck the leading edge of the left horizontal stabilizer, weakening the structure and causing it to detach. the aircraft lost control and broke-up in mid-air and crashed. bird collision."
1814,11/23/1962,14:10,"le bourget, france",malev hungarian airlines,355,frankfurt - paris,ilyushin il-18d,ha-mod,180002002,21.0,21,0.0,"stalled and crashed during approach, 0.5 miles from the outer marker. cause undetermined."
1816,11/27/1962,03:40,"lima, peru",varig,810,porto alegre - lima,boeing b-707-441,pp-vjb,17906/129,97.0,97,0.0,"after initiating an overshoot procedure, at the suggestion of the control tower, because it was too high, the aircraft proceded to start another approach when it crashed into la cruz peak. possible misinterpretation of navigation instruments."
1817,11/30/1962,21:45,"new york, new york",eastern air lines,512,charlotte - new york city,douglas dc-7b,n815d,45084/711,51.0,25,0.0,"the aircraft was 1,000 ft past the ils touchdown point and at an altitude of 25 ft. when a loss of visual reference caused the crew to abandon their approach. the landing gear was retracted, 20 degrees flaps selected and climb power applied.  at 3,500 ft. from the threshold, in a 6 degree left bank and speed of 135 knots the no. 1 and 2 propellers struck the ground. the aircraft hit a mound of earth and broke up. crew failed to follow approved procedures. technique employed by the crew during abandonment of the approach under fog conditions that were not adequately reported."
1818,12/06/1962,17:00,"barranca bermeja, colombia",taxader airlines,209,bucaramanga - barrancabermeja,douglas c-47,hk-437e,4697,26.0,24,0.0,crashed in heavy rain while en route. pilot error. flight under vfr in ifr conditions.
1820,12/14/1962,22:12,"burbank, california",flying tiger line,183,chicago - burbank,lockheed 1049h super constellation,n6913c,4810,5.0,5,3.0,the aircraft crashed during an ils approach to burbank airport. incapacitation of the captain with a heart attack at a critical point in the approach from which the co-pilot could not recover.
1829,01/17/1963,15:53,"great salt lake, utah",west coast airlines,703,training,fairchild f-27,n2703,6,3.0,3,0.0,crashed into the great salt lake while practicing an emergency decent during training. crews lack of vigilance for undetermined reason.
1831,01/29/1963,22:44,"kansas city, missouri",continental airlines,290,"midland, tx - kansas city, mo",vickers viscount 812,n242v,356,8.0,8,0.0,"while making a straight in approach, the aircraft continued flying over the runway to the south end and while at a height of 90 feet, suddenly pitched down and struck the ground. icing of the horizontal stabilizer which led to loss of pitch control."
1833,02/01/1963,17:15,"ankara, turkey",middle east airlines / military - turkish air forcec-47,265,nicosia - ankara,vickers viscount 754d,od-ade,244,17.0,17,87.0,"midair collision between a civilian and military aircraft. both planes crashed into a heavily populated area destroying buildings, houses and vehicles. fourteen killed on the viscount, three on the c-47 and 87 on the ground. cause attributed to a military flight training zone extending into the approach pattern associated with civilian aircraft. the viscount aircraft had an ifr flight plan but was cruising under vfr conditions and did not see the c-47 until it was too late."
1836,02/12/1963,13:48,"near miami, florida",northwest orient airlines,705,miami - chicago,boeing b-720-051b,n724us,18354/224,43.0,43,0.0,"the aircraft crashed 37 miles west-southwest of miami after penetrating a thunderstorm and encountering severe turbulence. the aircraft initially entered an area of updrafts followed by downdrafts which put the aircraft into a high speed dive. while trying to pull out of the dive, the aircraft broke apart from excessive g forces. the crew is believed to have concentrated on maintaining a given airspeed in an extreme turbulence condition instead of flying attitude. in doing so, excessive stress was applied to the wings which separated from the fuselage. the weather was considerably worse than forecast."
1838,03/02/1963,10:02,"near davao city, philippines",philippine air lines,984,cotabato - davao,douglas dc-3,pi-c489,16115/32863,27.0,27,0.0,"crashed into mt. boca during descent for landing. limited visibility, crosswinds contributing to navigational error."
1839,03/05/1963,18:20,"camden, tennesee",private,-,kansas city - dyersburg - nashville,piper pa-24-250 comanche,n7000p,24-2144,4.0,4,0.0,"the plane took off from dyersburg and flew into a storm. the pilot, randy hughes, was not instrument rated, lost control and crashed. the plane was at full throttle in a 45 degree downward attitude when it struck the ground. singer, patsy cline, 30, killed. also killed were hawkshaw hawkins, 39,, cowboy copas, 49, and cline's manager, randy hughes, 35. cline’s friend, dottie west, offered a ride to cline. they were to travel  from kansas city, kansas, to nashville. west tried to persuade cline to ride in the car, believing it was safer. cline was eager to return home to her children and wanted to take her flight. she refused to ride with west. cline allegedly told west she was ready if it was her time to leave. noninstrument pilot attempted visual flight in adverse weather conditions, resulting in a loss of control. judgment of the pilot in initiating flight in the existing weather conditions."
1841,03/15/1963,13:55,"near charana, bolivia",lloyd aereo boliviano,915,arica - la paz,douglas dc-6b,cp-707,43547/204,41.0,41,0.0,"struck 14,250 ft. chachacomani peak. flight under vfr in ifr conditions in marginal weather conditions with severe turbulence."
1850,06/03/1963,10:16,"pacifiocean, 116 miles wsw of annette island, alaska",northwest orient airlines,293,mcchord afb - elmendorf afb,douglas dc-7cf,n290,45209/861,101.0,101,0.0,"the aircraft was being flown under contract to the military. while en route, the aircraft crashed into the sea.  the last known message was a request to ascend from 14,000 ft. to 18,000 ft. the last known position was 54 degrees 14 minutes n, 134 degrees 41 minutes w. unable to determine the probable cause due to lack of evidence."
1858,07/02/1963,15:49,"rochester, new york",mohawk airlines,112,rochester - newark,martin 404,n449a,14140,43.0,7,0.0,the pilot lost control of the aircraft while attempting to take off in a thunderstorm and crashed.  poor decision by pilot-in-command  to take off during a severe thunderstorm.
1859,07/03/1963,09:09,"mt. ngatamahinerua, new zealand",new zealand national airways,441,auckland - whenuapai - tauranga,douglas dc-3,zk-ayz,15204/26889,23.0,23,0.0,"crashed  while on a descent to tauranga the aircraft experienced heavy rain, turbulence and extreme downdrafts on the lee side of a mountain. the plane crashed into the kaimai range at 2,460 ft., just 300 feet below the nearest summit. premature descent by the pilot-in-command. misleading forcast. lack of dme equipment at the airport."
1863,07/27/1963,01:50,"off bandra, maharashtra, india",united arab airlines,869,bangkok - bombay,de havilland comet 4c,su-ald,06441,63.0,63,0.0,"the aircraft crashed into the arabian sea while on a flight from tokyo, japan to egypt while preparing to land in rain and turbulence. the pilot may have lost control while turning into an area of severe turbulence and heavy rain."
1865,08/12/1963,13:19,"lyon, france",air inter,2611,lille - lyon,vickers viscount 708,f-bgnv,039,20.0,20,1.0,struck by lightning while on initial approach in a thunderstorm. the accident resulted from exceptionally bad weather conditions in the area where the aircraft was holding at the request of lyon approach. the board did not rule out the possibility of a flash of lightning dazzling the crew and causing temporary blindness or appreciably incapacitating both crew members.
1870,09/04/1963,06:22,"durrenasch, aargau, switzerland",swissair,306,zurich - geneva,sud-aviation caravelle iii,hg-icv,147,80.0,80,0.0,"prior to departure from zurich airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. the aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 15 miles wsw of zurich. braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a fuel line which caused a fire to start which ultimately led to the loss of control of the aircraft."
1875,10/14/1963,11:33,"jamaica, new york",new york airways,600,idlewild - newark,boeing vetrol 107 ii helicopter,n6673d,3,6.0,6,0.0,the helicopter crashed to the ground and burned. fatigue failure of the drive quill shaft due to contamination of the lubrication system in the aft transmission assembly.
1879,11/08/1963,17:59,"mariehamn, aaland island, finland",finnair,217,turku - mariehamn,douglas dc-3,oh-lca,9799,24.0,22,0.0,the aircraft flew below the safe flying altitude and hit trees on the approach line in fog. wrong indication of the pilot's altimeter during the instrument approach. landing carried out in below minimum conditions.
1880,11/29/1963,18:33,"ste. therese de blainville, canada",trans canada air lines,831,montreal - toronto,mcdonnell douglas dc-8f-54f,cf-tjn,45654/179,118.0,118,0.0,the aircraft crashed about 5 minutes after leaving dorval airport in montreal. icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the pitch trim compensator.
1882,12/08/1963,20:59,"elkton, maryland",pan american world airways,214,washington - baltimore - philadelphia,boeing b-707-121,n709pa,17588/3,81.0,81,0.0,"the airliner was on a flight from baltimore to philadelphia. the aircraft was in a holding pattern along with 5 other planes when the control tower received a mayday message. the plane was seen going down in flames and crashed 10 miles southwest of new castle, delaware. the aircraft was struck by lightning.  lightning induced ignition of fuel tank vapors. within two weeks after the accident, the faa ordered lightning discharge wicks to be installed on all commercial jet airliners. the aircraft was named clipper tradewind."
1889,02/03/1964,08:00,"gainsville, florida",south central airlines,510/3,gainsville - jacksonville,beech d18s,n2999,a-811,10.0,10,0.0,"the aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of runway 6. pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion."
1894,02/21/1964,16:00,"marawi, philippines",philippine air lines,946,cotabato - malabang - iligan - cayagan de oro,douglas dc-3,pi-c97,14944/2638,32.0,31,0.0,struck trees on a mountain ridge and crashed while attempting to land. continued flight under vfr into ifr conditions.
1897,02/25/1964,02:06,"lake pontchartrain, new orleans, louisiana",eastern air lines,304,mexico city - new orleans - new york city,mcdonnell douglas dc-8-21,n8607,45428/61,58.0,58,0.0,"the aircraft crashed into lake pontchartrain, 19 miles northeast of new orleans international airport, shortly after taking off. mechanical failure. uncommanded extension of the pitch trim compensator. degradation of aircraft stability characteristics in turbulence, because of abnormal longitudinal trim component positions.  malfunctioning pitch trim compensator."
1898,02/27/1964,06:15,"oita, japan",fuji airlines,902,kagoshima - oita,convair cv-240-0,ja5098,053,42.0,20,0.0,"ran past end of runway when landing and ran into a lumber pile. malfunctioning propeller reverser, excessive speed and insufficient  braking."
1899,02/29/1964,14:14,"near innsbruck, austria",british eagle international airlines,802,london - innsbruck,bristol britannia 312,g-aovo,13423,83.0,83,0.0,"the aircraft crashed into mt. glungezer and then slid down a gorge, 10 miles ese of the airport while in a holding pattern. the pilot descended below the minimum safe altitude in an apparent attempt to penetrate the overcast flying vfr in ifr conditions."
1900,03/01/1964,11:29,"near zephyr cove, nevada",paradise airlines,901a,"san jose, ca - lake tahoe",lockheed 049 constellation,n86504,2025,85.0,85,0.0,the aircraft crashed into genoa peak while attempting to land under vfr conditions after a missed approach and go-around. the captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. the pilot's deviation from prescribed vfr flight procedures in attempting a visual landing approach in adverse weather conditions. this resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. the aircraft was named city of los angeles.
1903,03/10/1964,08:22,"boston, massachutes",slick airways - cargo,12,new york - winsor locks - boston,douglas dc-4,n384,18379,3.0,3,0.0,"while on approach, the cargo plane suddenly pitched down and crashed short of the runway. loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery."
1904,03/12/1964,20:50,"miles city, montana",frontier airlines,32,billings - miles city - glendive - sidney,douglas dc-3c,n61442,9642,5.0,5,0.0,"struck a ridge while approaching miles city in sleet and freezing rain while on a vor instrument approach. the descent below obstructing terrain, for reasons undetermined, during an instrument approach in adverse weather conditions."
1906,03/28/1964,22:39,"mt. vesuvius, italy",alitalia,045,rome - napoli,vickers viscount 785d,i-lake,328,45.0,45,0.0,the plane crashed during  final approach. failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.
1907,03/28/1964,06:00,north pacifiocean,private - facilities management co.,-,honolulu - san francisco,douglas c-54a-10-dc,n4726v,10315,9.0,9,0.0,"disappeared while en route, 1,120 nm w of san francisco, after the pilot reported in had a bad fire in the no. 2 engine."
1911,05/07/1964,06:49,"san ramon, california",pacifiair lines,773,stockton - san fransisco,fairchild f-27a,n2770r,0036,44.0,44,0.0,"the aircraft went into a steep dive and crashed 26 miles from it destinatiion of san francisco internatiional airport. the last message which had to be obtained through laboratory analysis was 'skipper's shot.  we've been shot.  i was trying to help.'  francisco gonzales, a passenger, who had told several people he was going to kill himself, shot both the pilot and co-pilot. gonzales, 27, a former member of the philippine yachting team at the 1960 olympics, had purchased life insurance policies totaling $105,000 prior to the flight."
1924,11/23/1964,13:09,"rome, italy",trans world airlines,800,rome - athens,boeing b-707-331,n769tw,17685/123,73.0,50,0.0,the captain decided to abort the takeoff after the no. 4 engine pressure ratio read zero thrust and the amber warning light indicating thrust reversal of no. 2 engine came on. the speed was below v1. the aircraft continued to travel past the runway limit and the no. 4 engine struck a steam roller. the aircraft burst into flames. malfunction of the no. 2 engine reverse thruster. the malfunction allowed in the development of forward thrust by no. 2 engine even though all four levers were in the reverse position.
1925,07/09/1964,18:15,"parrottsville, tennesee",united air lines,823,philidelphia - washington - knoxville - huntsville,vickers viscount 745d,n7405,103,39.0,39,0.0,"the plane crashed 2 miles northeast of parrottsville after experiencing an uncontrollable fire of unknown origin which started below the passenger floor and eventually involved the passenger cabin. one passenger died after free-falling out of the no. 4 emergency escape window of the plane in an attempt to escape the onboard fire. the ignition source was never determined, but it is thought the plane's battery or something in a passenger's luggage caused the fire.  testing revealed lethal amounts of co2 could be discharged into the cockpit instead of the lower baggage compartment. the plane was seen flying erratically and the fire eventually burned through the controls.  it is likely the crew was unconscious by then."
1942,11/15/1964,20:25,"las vegas, nevada",bonanza airlines,114,phoenix - las vegas,fairchild f-27a,n745l,0029,29.0,29,0.0,"the aircraft crashed  into rising terrain 9.7 miles south southwest of mcarran field in a snowstorm during an approach to the airport. captain's misinterpretation of approach charts leading to premature descent below obstructing terrain. after years of legal court battles, a u.s. district court judge concluded that the landing charts provided by jeppesen were the main cause of the accident."
1960,02/06/1965,08:36,"san jose volcano, chile",lan,107,santiago - buenos aires,douglas dc-6b,cc-ccg-104,45513/1004,87.0,87,0.0,"after an improper climb, the aircraft flew into a 12,000 ft. mountain in the la melosas area of the andes. crew did not follow flight plan for climbing out of santiago."
1961,02/08/1965,18:26,"off jones beach, new york, new york",eastern air lines,663,new york city - richmond va,douglas dc-7b,n849d,45455/981,84.0,84,0.0,"the aircraft crashed shortly after taking off after taking evasive action to avoid  pan american flight 212, a  boeing-707, that was planning to land. the aircraft were separated vertically by approximately 1,000 feet although this was not known to the  controllers involved. the eal captain had the illusion that a potential collision course existed. as a result of this illusion, a descent was initiated. in this circumstance the dc-7 was placed in an unusual attitude, resulting in spatial disorientation of the crew. placement of the two aircraft on a near head on course which prompted the eal plane to make an evasive maneuver from which the pilots could not recover."
1966,03/08/1965,10:30,"libmanan, philippines",fairways,43,manila - naga,douglas dc-3,pi-c948,4892,12.0,10,0.0,crashed and burned on a forested mountain slope on mt. tangcong vaca. misjudgment of clearance with the ground by the crew which resulted in collision with trees.
1968,03/17/1965,09:22,"musquodoboit, canada",eastern provincial airways,102,halifax - sidney ns,handley page hpr-7 herald 211,cf-naf,160,8.0,8,0.0,communication was lost with the aircraft soon after takeoff. failure of corroded skin along the bottom center line of the aircraft which resulted in structural failure of the fuselage and aerial disintegration.
1969,03/22/1965,14:55,"sugar loaf mountain, colombia",avianca,676,bogota - bucaramanga,douglas c-47,hk-109,4753,28.0,28,0.0,"crashed into pan de azucar peak, 35 nm from bucaramanga. flying under vfr in ifr conditions."
1977,04/23/1965,14:23,"near seattle, washington",aaxico airlines,1422,"seattle, wa - ogden, ut",douglas dc-6a,n6541c,45369/984,5.0,5,0.0,"the cargo plane flew into mt. rainier at 10,200 ft.  the improper correlation of the aircraft position with respect to obstructing terrain while continuing the flight on a vfr flight plan in instrument weather conditions."
1979,05/20/1965,23:48,"cairo, egypt",pakistan international airlines,705,karachi - dhahran - cairo - geneva - london,boeing b-720-040b,ap-amh,18379,125.0,119,0.0,the aircraft  crashed during its approach.the plane descended during the approach at triple the normal rate until the aircraft struck the ground. the aircraft exceeded the recommended descent rate during the final stages of landing for reasons unknown.
1983,07/01/1965,05:29,"kansas city, missouri",continental airlines,12,"los angeles - kansas city, mo",boeing b-707-124,n70773,17609/25,66.0,0,0.0,the aircraft slid off the end of the runway while landing and broke in two. hydroplaning of the landing gear wheels which led to braking ineffectiveness.
1987,07/08/1965,16:40,"dog creek, british columbia, canada",canadian pacifiair lines,21,vancouver - whitehorse,douglas dc-6b,cf-cuq,43844/334,52.0,52,0.0,the tail section separated from the fuselage after a bomb exploded in the passenger compartment.  it was believed a saboteur ignited a mixture of acid and gunpowder which may have been poured into the toilet in a suicide-for-insurance scheme.
1988,07/11/1965,22:22,"off nantucket, massachusetts",military - u.s. air force,-,otis afb,ec-121h (super constellation),55-1036,4409,19.0,16,0.0,"the aircraft experienced a lost of the no. 2 engine followed by a fire in the no. 3 engine and ditched in the north atlantic, 100 miles northeast of nantucket, in zero-zero weather."
1994,08/16/1965,20:21,"lake michigan, near chicago, illinois",united air lines,389,new york city - chicago,boeing b-727-22,n7036u,18328/146,30.0,30,0.0,"the plane crashed into lake michigan 19.5 miles east of lake forest, illinois during  an approach and while descending from fl 350. the aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. officially, a cause could not be determined. the aircraft was dispatched illegally without an operating cvr. possible misread altimeter. the crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. possible excessive sink rate. excessive sink rate is thought to have possibly caused four 727 accidents in succession. lake michigan 8/16/65, cincinnati 11/8/65, salt lake city 11/11/65 and tokyo bay 2/4/66. only the salt lake and cincinnati crashes were officially attributed to it. after 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
1998,09/11/1965,16:25,"near la carlota, phillipines",filipinas orient airways,60,cebu - bacolod,douglas dc-3a,pi-c942,1926,11.0,11,0.0,hit tree tops and crashed into mt. kantakan.
2002,09/17/1965,11:25,"montserrat, antigua",pan american world airways,292,"fort de france - saint johns, antigua",boeing b-707-121b,n708pa,17586/1,30.0,30,0.0,crashed into mountains 32 miles southwest of its destination while descending for a landing. pilot became lost and disoriented. crew did not determine their position before descending. navigation error. the aircraft was named 'clipper constitution.'
2007,10/20/1965,10:33,"near manila, philippines",philippine air lines,741,manila - tacloban,douglas dc-3,pi-c-144,13403,37.0,1,0.0,the aircraft veered to the left after taking off. the pilot lost control and crashed. failure of the pilot to set the rudder trim tab to the proper position before takeoff and during the flight. undetected deflection of the rudder trim tab.
2012,11/08/1965,19:02,"cincinnati airport, near covington, kentucky",american airlines,383,new york city - cincinnati,boeing b-727-23,n1996,18901/153,62.0,58,0.0,"the aircraft crashed short of runway during a visual approach in deteriorating weather conditions. failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. excessive sink rate is thought to have caused four 727 accidents in succession.  lake michigan 8/16/65, cincinnati 11/8/65, salt lake city 11/11/65 and tokyo bay 2/4/66. only the salt lake and cincinnati crashes were officially attributed to it. after 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2014,11/11/1965,17:52,"salt lake city, utah",united air lines,227,denver - salt lake city,boeing b-727-22,n7030u,18322/130,91.0,43,0.0,"the aircraft crashed short of the runway and collided with runway lights, 335 feet short of the runway, causing the main landing gear to fail followed by a fire. too high of a descent rate during approach. failure of the captain to take  timely action to arrest an excessive descent rate during the landing approach. excessive sink rate is thought to have caused four 727 accidents in succession. lake michigan 8/16/65, cincinnati 11/8/65, salt lake city 11/11/65 and tokyo bay 2/4/66. only the salt lake and cincinnati crashes were officially attributed to it. after 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected. bill linderman, 45, champion rodeo cowboy killled."
2017,11/27/1965,07:15,"salt lake city , utah",edde airlines,65/75,salt lake - albuquerque,douglas c-53-do (dc-3a),n485,4848,13.0,13,0.0,crashed into a hill 22 miles south of salt lake city after taking off in snow and poor visibility. the track was aboout 1 mile east of pass through mountain. judgment of the pilot in command in initiating a vfr flight under existing weather conditions and terrain environment.
2018,12/04/1965,16:18,"carmel, new york",trans world airlines / eastern air lines,42 / 853,boston - newark,boeing b-707-131b / l1049c constellation,n748tw/n6218c,18387/286  / 4526,112.0,4,0.0,"midair collision at 11,000 feet. misjudgment of altitude separation by the crew of eal 853 because of an optical illusion created by the up-slope effect of cloud tops resulting in an evasive maneuver by the eal 853 crew and a reactionary evasive maneuver by  the twa 42 crew. the 707 landed at jfk despite losing 25 feet of the left wing. there were no injuries to the crew of 7 and 51 passengers aboard the 707.  three of the 46 passengers and 1 crew member aboard  eal 853 were killed. misjudgment of altitude separation by the crew of the constellation because of an optical illusion created by the up-slope effect of cloud tops, resulting in an evasive maneuver by the constellation crew and a reactionary evasive maneuver by the boeing crew."
2026,01/15/1966,20:55,"off cartagena, colombia",avianca,4,bogata - crespo,douglas dc-6-54b,hk-730,18325,64.0,56,0.0,crashed shortly after taking off. the plane rose less than 100 ft. and then crashed into shallow water.  possible engine failure. maintenance error and inadequate inspections.
2028,01/24/1966,08:02,"mont blanc, french alps, switzerland",air india,101,bombay - beirut  - geneva - paris - london -new york,boeing b-707-437,vt-dmn,18055/200,117.0,117,0.0,"the aircraft was told to hold at 1,000 ft. above the clouds  before landing at geneva  but descended below the minimum safe altitude and crashed into mont blanc. with a malfunctioning no. 2 vor the crew thought they had already passed mt. blanc. miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. hambi bhabha, father of india's nuclear program killed. the aircraft was named kanchenjunga."
2031,01/28/1966,17:50,"bremen, germany",lufthansa,005,frankfurt - bremen,convair cv-440-0,d-acat,464,46.0,46,0.0,crashed on approach in heavy fog. the aircraft stalled while making a turn at low altitude. instrument malfunction.
2032,02/04/1966,19:00,"tokyo bay, japan",all nippon airways,8302,chitose - tokyo,boeing b-727-81,ja8302,18822/126,133.0,133,0.0,"the jetliner crashed about 7.5 miles ese of tokyo international (haneda) airport where it was scheduled to land. the aircraft was on vfr approach and was observed at a height of 2, 000 ft. just before the crash.  cause undetermined. excessive sink rate is thought to have caused four 727 accidents in succession. lake michigan 8/16/65, cincinnati 11/8/65, salt lake city 11/11/65 and tokyo bay 2/4/66. only the salt lake and cincinnati crashes were officially attributed to it. after 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
2037,03/04/1966,20:15,"near tokyo, japan",canadian pacifiair lines,402,hong kong - tokyo,mcdonnell douglas dc-8-43,cf-cpk,45761/237,72.0,64,0.0,the aircraft struck the approach lights and a sea wall during a landing attempt. the pilot initiated a steep rate of descent with the intention of executing a final approach at a lower altitude. poor visibility due to illusive fog conditions misled the pilot and affected his judgement.
2039,03/05/1966,14:15,"near gotemba city, mt. fuji, japan",british overseas airways,911,tokyo - hong kong,boeing b-707-436,g-apfe,17706/113,124.0,124,0.0,the aircraft crashed into mt. fuji after encountering severe turbulence when the pilot decided to give the passengers a view of the mountain. the aircraft encountered severe clear air turbulence and started to come apart in the air before crashing.
2043,03/18/1966,18:40,"cairo, egypt",united arab airlines,749,nicosia - cairo,antonov an-24b,su-aoa,57302009,30.0,30,0.0,crashed into sand dunes. improper approach during a sandstorm with turbulence and icing. descent of the aircraft below the safe flight altitude in the final approach.
2048,04/22/1966,20:30,"near ardmore, oklahoma",american flyers airline,280d,monterey - ardmore,lockheed 188c electra,n183h,1136,98.0,83,0.0,"the aircraft crashed into foothills during landing attempt at ardmore municipal airport . during the approach in rain and fog, the captain made a last-minute change in his choice of runways. one minute later the plane crashed into high ground. incapacitation of the captain with a heart attack during final stages of approach.  the captain, who suffered from a long standing heart condition and diabetes, managed to keep his pilot's license by falsifying his medical records."
2049,04/27/1966,08:05,"tomas, peru",lansa,501,lima - cuzco,lockheed 749a constellation,ob-r-771,2521,49.0,49,0.0,"crashed into 12,600 ft. mt. talsula. pilot error. incorrectly selected the route. incorrectly calculated the climb performance of the aircraft in relation to its total weight of takeoff. underestimated the elevation of peaks he had to clear along the route."
2057,06/29/1966,12:04,"sagalyan, philippines",philippine air lines,785,mamburao - san jose,douglas dc-3,pi-c17,20573,26.0,24,0.0,"cashed in poor weather. misjudgment of the terrain clearance, which resulted in the collision with trees in severe turbulence and strong gusty winds."
2061,08/06/1966,23:12,"near falls city, nebraska",braniff airlines,250,"kansas city, mo - omaha",bac one-eleven 203ae,n1553,070,42.0,42,0.0,the aircraft broke up in flight due to turbulence after entering a squall line. right tailplane and wing failed. pilot operated aircraft in area of avoidable weather hazard.
2069,09/01/1966,00:47,"near ljubljana, slovenia, yugoslavia",britannia airways,105,luton - ljubljana,bristol britannia 102,g-anbb,12903,117.0,98,0.0,the plane crashed into forest during a landing attempt at ljubljana airport. the crew's failure to follow proper landing procedures. improperly set altimeter. captain failed to adjust his altimeter (he remained on qnh instead of changing to qfe) and the crew failed to cross-check altimeters.
2072,09/22/1966,13:03,"winton, australia",ansett ana,149,mount isa - longreach,vickers viscount 832,vh-rmi,416,24.0,24,0.0,"about 150 miles from longreach, fire was reported in no. 1 and 2 engines. while the plane was making an emergency descent, the left wing broke away due to weakening by the fire. after failure of the wing, the plane broke up in mid-air and crashed. loosened bolts led to the loss of the oil lubricating unit causing the bearings to heat and catching the engines on fire. subsequently, a locking mechanism was installed on the bolts to prevent any future accidents of this kind."
2074,10/01/1966,19:10,"near wemme, oregon",west coast airlines,956,eugene - portland,mcdonnell douglas dc-9-14,n9101,45794/52,18.0,18,0.0,"the plane crashed into salmon mountain while on approach to portland. the pilots evidently had agreed to maintain 9,000 feet, but descended instead. the aircraft hit the mountain at the 3,830-foot level of a 4,090-foot ridge. the crew's descent  below its clearance limit and below that of surrounding obstructing terrain for reasons unknown. first crash of a dc-9."
2081,11/11/1966,01:43,"off chatham, massachusetts",military - u.s. air force,-,otis afb,lockheed ec-121h,55-5262,4413,19.0,19,0.0,"the aircraft was observed flying low and emitting smoke from one of its engines before crashing into the sea and exploding, 125 miles east of nantucket."
2082,11/13/1966,20:30,"off matsuyama, japan",all nippon airways,533,osaka - matsuyama,namc-ys-11-111,ja8658,2023,50.0,50,0.0,the plane crashed into the sea after overshooting the runway and during a go-around. undetermined cause.
